job_id,grid_id,scenario_id,profile_name,length_name,target_Np,target_SR,target_MM,decay_constant,max_mates_cap,np_weight,sr_weight,mm_weight,n_iter,burn_in,thin,trace_thin,n_chains,seed_set
50,17,17,Equal_Linear,1M_Iter,400,2,4,-0.05,10,200,200,200,1000000,100000,100,10,4,200
51,17,17,Equal_Linear,1M_Iter,400,2,4,-0.05,10,200,200,200,1000000,100000,100,10,4,300
52,18,18,Equal_Linear,1M_Iter,400,4,4,-0.05,10,200,200,200,1000000,100000,100,10,4,100
53,18,18,Equal_Linear,1M_Iter,400,4,4,-0.05,10,200,200,200,1000000,100000,100,10,4,200
54,18,18,Equal_Linear,1M_Iter,400,4,4,-0.05,10,200,200,200,1000000,100000,100,10,4,300
55,19,19,Equal_Linear,1M_Iter,800,1,1,-0.05,10,400,400,400,1000000,100000,100,10,4,100
56,19,19,Equal_Linear,1M_Iter,800,1,1,-0.05,10,400,400,400,1000000,100000,100,10,4,200
57,19,19,Equal_Linear,1M_Iter,800,1,1,-0.05,10,400,400,400,1000000,100000,100,10,4,300
58,20,20,Equal_Linear,1M_Iter,800,1,2,-0.05,10,400,400,400,1000000,100000,100,10,4,100
59,20,20,Equal_Linear,1M_Iter,800,1,2,-0.05,10,400,400,400,1000000,100000,100,10,4,200
60,20,20,Equal_Linear,1M_Iter,800,1,2,-0.05,10,400,400,400,1000000,100000,100,10,4,300
61,21,21,Equal_Linear,1M_Iter,800,1,4,-0.05,10,400,400,400,1000000,100000,100,10,4,100
62,21,21,Equal_Linear,1M_Iter,800,1,4,-0.05,10,400,400,400,1000000,100000,100,10,4,200
63,21,21,Equal_Linear,1M_Iter,800,1,4,-0.05,10,400,400,400,1000000,100000,100,10,4,300
64,22,22,Equal_Linear,1M_Iter,800,2,2,-0.05,10,400,400,400,1000000,100000,100,10,4,100
65,22,22,Equal_Linear,1M_Iter,800,2,2,-0.05,10,400,400,400,1000000,100000,100,10,4,200
66,22,22,Equal_Linear,1M_Iter,800,2,2,-0.05,10,400,400,400,1000000,100000,100,10,4,300
67,23,23,Equal_Linear,1M_Iter,800,2,4,-0.05,10,400,400,400,1000000,100000,100,10,4,100
68,23,23,Equal_Linear,1M_Iter,800,2,4,-0.05,10,400,400,400,1000000,100000,100,10,4,200
69,23,23,Equal_Linear,1M_Iter,800,2,4,-0.05,10,400,400,400,1000000,100000,100,10,4,300
70,24,24,Equal_Linear,1M_Iter,800,4,4,-0.05,10,400,400,400,1000000,100000,100,10,4,100
71,24,24,Equal_Linear,1M_Iter,800,4,4,-0.05,10,400,400,400,1000000,100000,100,10,4,200
72,24,24,Equal_Linear,1M_Iter,800,4,4,-0.05,10,400,400,400,1000000,100000,100,10,4,300
73,25,25,Equal_Linear,1M_Iter,1600,1,1,-0.05,10,800,800,800,1000000,100000,100,10,4,100
74,25,25,Equal_Linear,1M_Iter,1600,1,1,-0.05,10,800,800,800,1000000,100000,100,10,4,200
75,25,25,Equal_Linear,1M_Iter,1600,1,1,-0.05,10,800,800,800,1000000,100000,100,10,4,300
76,26,26,Equal_Linear,1M_Iter,1600,1,2,-0.05,10,800,800,800,1000000,100000,100,10,4,100
77,26,26,Equal_Linear,1M_Iter,1600,1,2,-0.05,10,800,800,800,1000000,100000,100,10,4,200
78,26,26,Equal_Linear,1M_Iter,1600,1,2,-0.05,10,800,800,800,1000000,100000,100,10,4,300
79,27,27,Equal_Linear,1M_Iter,1600,1,4,-0.05,10,800,800,800,1000000,100000,100,10,4,100
80,27,27,Equal_Linear,1M_Iter,1600,1,4,-0.05,10,800,800,800,1000000,100000,100,10,4,200
81,27,27,Equal_Linear,1M_Iter,1600,1,4,-0.05,10,800,800,800,1000000,100000,100,10,4,300
82,28,28,Equal_Linear,1M_Iter,1600,2,2,-0.05,10,800,800,800,1000000,100000,100,10,4,100
83,28,28,Equal_Linear,1M_Iter,1600,2,2,-0.05,10,800,800,800,1000000,100000,100,10,4,200
84,28,28,Equal_Linear,1M_Iter,1600,2,2,-0.05,10,800,800,800,1000000,100000,100,10,4,300
85,29,29,Equal_Linear,1M_Iter,1600,2,4,-0.05,10,800,800,800,1000000,100000,100,10,4,100
86,29,29,Equal_Linear,1M_Iter,1600,2,4,-0.05,10,800,800,800,1000000,100000,100,10,4,200
87,29,29,Equal_Linear,1M_Iter,1600,2,4,-0.05,10,800,800,800,1000000,100000,100,10,4,300
88,30,30,Equal_Linear,1M_Iter,1600,4,4,-0.05,10,800,800,800,1000000,100000,100,10,4,100
89,30,30,Equal_Linear,1M_Iter,1600,4,4,-0.05,10,800,800,800,1000000,100000,100,10,4,200
90,30,30,Equal_Linear,1M_Iter,1600,4,4,-0.05,10,800,800,800,1000000,100000,100,10,4,300
