Np,Intensity,Mean_Components,SE_Components,Mean_Density,SE_Density
100,0,20.3,0.5186013579051376,0.057448974336282044,0.0038853783326325696
100,0.01,17.85,0.48814902815043126,0.06358279174609306,0.0038074404431258516
100,0.02,17.15,0.4660867323849319,0.06564477614193516,0.0036646577300889446
100,0.05,13.9,0.42858395971654817,0.07315734709244198,0.0033410296321296127
100,0.1,12.65,0.47724538540957817,0.07536532689211728,0.0032504242063556774
100,0.25,12.5,0.42612081311339517,0.07668698952806326,0.0031401967214800593
100,0.5,13.35,0.4247290157760654,0.07558147630256462,0.002928538592192214
100,0.75,13.4,0.41927255298219857,0.07551381036574861,0.003196137738780827
100,1,13.55,0.5102888758753273,0.07575870715812803,0.00286472565275485
200,0,41.7,0.5986827646020711,0.0282724042058375,9.069610532797777e-4
200,0.01,37.15,0.5725060330640515,0.03139568887552442,9.446100577987458e-4
200,0.02,33.5,0.7556802442693253,0.03353932526902916,0.0010924718543536603
200,0.05,27.5,0.7308970695766877,0.03694273214828463,0.0010520232613567704
200,0.1,25.15,0.8714023785044186,0.03855340090728599,0.0012489471493599069
200,0.25,26.95,0.8567840727793794,0.03838185586344473,0.0012167495108320028
200,0.5,27.05,0.9360471198216016,0.038393816838475675,0.0011873879560648792
200,0.75,27.55,0.9416530817216016,0.03875345417307796,0.0012485078275114709
200,1,26.8,0.9749493913990991,0.0385086020292675,0.0012736812691400085
400,0,85.35,1.57826520351669,0.014570155923382698,5.614226336374589e-4
400,0.01,74.45,1.4518137476600559,0.016698749936232188,5.449905976593774e-4
400,0.02,66.65,1.5898940712810827,0.018126416282027043,5.639047749991744e-4
400,0.05,54.6,1.6454082839990296,0.02026721555344098,5.84557855591404e-4
400,0.1,51.9,1.631757205881858,0.02105191116690815,6.001514507242439e-4
400,0.25,51.3,1.826846578411179,0.021206541692294273,6.005482854308192e-4
400,0.5,50.5,1.8115128890980656,0.021186852283666454,5.921052070823081e-4
400,0.75,52.8,1.6393194993815672,0.021084601277093568,6.029947730373085e-4
400,1,51.9,1.5507213940954265,0.021100817856848798,5.863950754369294e-4
800,0,193.95,2.9437489523967293,0.005794691740673894,2.6418402945965454e-4
800,0.01,170.7,2.909241174348788,0.007093370866376242,2.597356920654375e-4
800,0.02,152.15,2.8463041595059813,0.008037254855530739,2.8351248786199324e-4
800,0.05,123,2.755855011081908,0.00936979918273255,2.969724802989939e-4
800,0.1,111.15,2.548761309053148,0.00984285376835442,2.715205084614591e-4
800,0.25,108.3,1.989578109205964,0.009892263447437221,2.7328955370239184e-4
800,0.5,108.15,2.549793593297515,0.00987520954374944,2.703230958061839e-4
800,0.75,107.75,1.9680005883610587,0.009885149996416218,2.731950617316525e-4
800,1,109.25,2.1087224867952132,0.009880496396824296,2.684710362635177e-4
1600,0,416.4,5.701061766299142,0.0023694106527552476,9.22309311212594e-5
1600,0.01,364,5.333114030578935,0.00323531224701621,9.350341187728968e-5
1600,0.02,323,5.274566582343894,0.0038480951264706176,1.046155906694237e-4
1600,0.05,265.55,4.266438795998368,0.004640406099955386,1.1472866270816823e-4
1600,0.1,234.15,2.6972451833208204,0.004906004956088999,1.1504127151573733e-4
1600,0.25,216.1,2.4877595077541264,0.004935644693103071,1.1651308713673306e-4
1600,0.5,211.9,2.173888100543404,0.004936733280219607,1.1635109918795475e-4
1600,0.75,214.75,2.5067015441769183,0.004938356994473935,1.1620746143646341e-4
1600,1,218.95,2.5674839209254117,0.004937158243251954,1.1651736526070933e-4
