scenario_id,seed_set,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,run_time_sec
1,100,Equal_Linear,100,1,1,100.56591666666667,1.0003256662551492,1.0866179043059703,0.5659166666666664,0.03256662551491818,8.661790430597026,4,1.000872724605649,11382.222978242495,1.0005644802302167,21484.30796619431,1.0413876233935109,320.6989200811837,11.475513935089111
1,200,Equal_Linear,100,1,1,100.55848333333333,1.0003305706876118,1.0905056700087137,0.5584833333333279,0.03305706876117753,9.050567000871368,4,1.003673255105397,10160.195631290244,1.000814982962584,20850.332860643743,1.0240690388695177,287.2880560587415,11.902616024017334
1,300,Equal_Linear,100,1,1,100.53048055555556,1.0003738722381565,1.117051728685746,0.5304805555555561,0.037387223815654735,11.705172868574598,4,1.0007722996631712,11272.739318633508,1.0003217294080093,22895.740720322523,1.039509041158095,189.7311053436543,11.6007080078125
2,100,Equal_Linear,100,1,2,101.55199166666667,1.000447185718933,2.0225047327268015,1.551991666666666,0.04471857189329853,1.1252366363400768,4,1.0002056799235814,25168.73547114024,1.0002900552264355,48949.83417863947,1.0002828578260288,6874.4028554155675,11.49697494506836
2,200,Equal_Linear,100,1,2,101.61701388888889,1.0000533930971287,2.0218740266767172,1.6170138888888914,0.005339309712870666,1.0937013338358614,4,1.0002352352988524,24254.00817787731,1.0001487368557327,44970.46551001452,1.0008273849891964,7322.839505245731,11.439348936080933
2,300,Equal_Linear,100,1,2,101.563525,1.0001682586398888,2.023065718459468,1.5635249999999985,0.01682586398887853,1.1532859229733905,4,1.0004576972646022,23637.792496802314,1.0001987837433488,46770.384516713726,1.0026255993247497,6018.029607436962,11.62952208518982
3,100,Equal_Linear,100,1,4,102.45470555555556,1.0001930147216451,3.993743357186072,2.454705555555563,0.01930147216451239,0.1564160703481976,4,1.0003513441833318,19114.34775147986,1.000046820266324,39859.59113414729,1.0018886704003542,10368.010115524547,11.929286003112793
3,200,Equal_Linear,100,1,4,102.28223888888888,1.0003752127293428,3.9880548225649197,2.282238888888884,0.0375212729342822,0.29862943587700697,4,1.0003968571332948,21433.842198663282,1.0004271779105147,38837.837108189924,1.0030120262647946,11015.152597827344,11.590058088302612
3,300,Equal_Linear,100,1,4,102.20989166666666,0.9999573030713758,3.9831293118823883,2.209891666666664,0.004269692862424179,0.421767202940293,4,1.0007061508832549,23506.867438132467,1.000206386277711,36274.13677642412,1.0009899711518613,10858.43857877255,11.966468095779419
4,100,Equal_Linear,100,2,2,101.30164166666667,1.9824206643428546,2.0297775443588755,1.3016416666666686,0.8789667828572711,1.4888772179437737,4,1.0007689239394213,26892.93129870753,1.000655783409908,25636.883146580163,1.0007729881434249,5593.156462450697,12.830013990402222
4,200,Equal_Linear,100,2,2,101.32616944444445,1.9813854006291485,2.031160845432302,1.3261694444444458,0.9307299685425763,1.55804227161509,4,1.000085440266148,27013.819451624644,1.0001884321708048,22660.14719919073,1.0023312541226868,4858.929378230403,11.752527952194214
4,300,Equal_Linear,100,2,2,101.31386666666666,1.9822818596488934,2.0318980869709935,1.3138666666666552,0.8859070175553319,1.594904348549675,4,1.0006253303256296,25251.362939959163,1.0003698283615308,24481.21792001705,1.0006579071891015,5154.5604977329085,11.81932520866394
