Np,SR,MM,n_reps,realized_SR,CV_f,CV_m,mean_MHS,mean_PHS,ratio_excl,ratio_incl,n_seed_sets,predicted,mean_diff,ci_lo,ci_hi,p_value,incl_over_pred,p_holm
100,2,2,120,1.9796879628864923,0.3854384465432255,1.146357352399553,13.037316666666667,14.196716666666667,0.9183332296317341,1.0140733578712975,3,0.9825683314642427,-1.1594,-2.719104448959531,0.40030444895953116,0.1436878203170539,1.032063954636219,0.2873756406341078
200,2,2,120,1.9902510206557764,0.382309824110989,1.1143863592103105,6.243983333333333,6.235233333333333,1.0014033155669129,1.0369423664633968,3,1.0175259833221628,0.00874999999999998,-0.6084138950476522,0.6259138950476522,0.977650654702382,1.0190819531485973,0.977650654702382
400,1,2,120,0.9995523860076373,0.3844164593247364,1.2673451813726382,1.1721333333333332,8.469333333333333,0.13839735516372795,0.4464026233452452,3,0.4402111063566111,-7.2972,-7.64350990871683,-6.9508900912831715,6.898044626056446e-73,1.0140648813699362,5.518435700845157e-72
400,1,4,120,1.001168584953839,0.3854281389703774,0.9968202019275318,2.8105333333333333,7.087066666666667,0.39657215961469716,0.580571794466385,3,0.5767796439707066,-4.276533333333333,-4.4569632457410675,-4.096103420925599,1.2731706988364913e-78,1.0065746954410044,1.1458536289528422e-77
400,2,2,120,1.9943797547242397,0.38524106259553503,1.210630750012001,3.439583333333333,4.302416666666667,0.7994537953475759,0.9454450583221167,3,0.9289187605284932,-0.8628333333333333,-1.1691715126533144,-0.5564951540133523,1.5553394660539317e-7,1.017790896788672,1.0887376262377522e-6
400,2,4,120,1.9993892734953853,0.384461221373795,1.174414996454218,5.624583333333334,5.907266666666667,0.9521465088196459,0.9723535266607868,3,0.9645557633823014,-0.28268333333333334,-0.47620988753893445,-0.08915677912773226,0.004548166963708924,1.008084305308738,0.018192667854835694
400,4,4,120,3.988080522934859,0.3881967789471441,1.1127108192452508,10.81505,3.6010166666666668,3.00333239224108,2.0744332933660043,3,2.0504084893846115,7.214033333333333,7.012073064712848,7.415993601953819,4.503158556951588e-99,1.0117170817940786,5.403790268341905e-98
800,1,2,120,0.9993393715950417,0.3850535953563614,1.327042377037006,0.5032833333333333,4.487416666666666,0.11215435755538636,0.4182764835203401,3,0.41560683034352275,-3.9841333333333333,-4.109511363254418,-3.8587553034122495,3.4852154838618474e-93,1.0064235065015912,3.485215483861847e-92
800,1,4,120,0.9995078940550286,0.3834313394582953,1.1179362534773036,1.1822833333333334,3.96155,0.29843958383292735,0.5114085110472743,3,0.5095851102949064,-2.7792666666666666,-2.860346961295685,-2.6981863720376476,5.397493849412766e-97,1.0035782064968748,5.937243234354043e-96
800,2,2,120,1.9986444153226974,0.3825782038539869,1.1583214961072001,1.9479,2.0892333333333335,0.9323515803245208,0.9882801589706853,3,0.9784215172610151,-0.14133333333333334,-0.2536188732920505,-0.02904779337461612,0.014066338624915891,1.0100760679684033,0.04219901587474767
800,2,4,120,2.000529264729161,0.38428070006167947,1.18493640392517,2.833083333333333,3.0475666666666665,0.9296214466186138,0.959592584992078,3,0.9550248729093651,-0.21448333333333336,-0.2925517932386409,-0.1364148734280258,2.89156751301411e-7,1.0047828200210094,1.734940507808466e-6
800,4,4,120,3.9967106155043672,0.38524973215516845,1.1247753414355717,5.492816666666667,1.8676166666666667,2.941083555690408,2.044412881396315,3,2.026335343033544,3.6252,3.5289979785177263,3.721402021482274,8.891595319975803e-102,1.0089212964798353,1.1559073915968545e-100
1600,2,2,120,2.0005030072194234,0.3857087128507763,1.170349555981197,1.0748166666666668,1.1690833333333333,0.9193670254472879,0.9751300301082471,3,0.9697863551184732,-0.09426666666666667,-0.14329246374507543,-0.04524086958825789,2.2357369772038537e-4,1.0055101569140155,0.0011178684886019269
