Np,SR,MM,w,error_pct,rhat_max,ess_mean,n_frozen_chains,n_seed_sets
100,1,1,50,9.805843433347665,1.0413876233935109,265.90602716119315,0,3
100,1,1,100,0.7466865285700027,1.0456832151148387,422.81313289962577,0,3
100,1,1,200,0.8838212279783727,18.388015148620777,9646.635847772402,0,3
100,1,1,400,2.710244306611531,5224.322937969845,10902.592868072647,3,3
100,1,1,800,4.3333333333333295,Inf,0,4,3
100,1,1,1000,4.382343631897201,Inf,1.1673796041765343,4,3
100,2,2,50,1.5472746127028463,1.0023312541226868,5202.215446138003,0,3
100,2,2,100,1.3489972891176594,2.2587489327731736,1975.9586830197982,0,3
100,2,2,200,2.2806734173820655,4.752152946874302,1041.0325482762485,0,3
100,2,2,400,4.172092259855716,14.64010445592694,6924.485605683047,0,3
100,2,2,800,4.052512392875518,19.542176711052175,9078.321349012449,2,3
100,2,2,1000,4.112216066982429,19.494054861928056,8440.020746527436,2,3
400,1,1,50,49.906878491004946,1.381448005092284,616.7872480969767,0,3
400,1,1,100,10.24787281168816,1.0680277643722873,510.97008685470195,0,3
400,1,1,200,1.7701566835732763,1.007037525632836,354.9823125553705,0,3
400,1,1,400,0.5984333699195451,4.097792606921949,336.16230615184446,0,3
400,1,1,800,1.6307505897542967,15.151739682394439,153.6699435799805,0,3
400,1,1,1000,2.0804283830993566,10.818614527199392,1105.1781939384075,1,3
400,1,2,50,5.037552005145425,1.0401370571916242,3613.0389173545855,0,3
400,1,2,100,0.8468974705661584,1.0019964640319954,14822.847192647403,0,3
400,1,2,200,0.36590126824528707,1.028127066842367,6926.072288655896,0,3
400,1,2,400,0.5659902400170225,6.369586415964229,1169.4889137342159,0,3
400,1,2,800,0.9429241599938706,11.528938904866608,1081.3044096690303,0,3
400,1,2,1000,1.0823125073291602,19.946393893466432,2040.9204028603108,0,3
400,1,4,50,0.38783196786540036,1.029521928365244,23199.368932220288,0,3
400,1,4,100,0.011013103200156285,1.0001698195003474,45552.77903227633,0,3
400,1,4,200,0.184086531540939,1.038711752062032,11061.347024333592,0,3
400,1,4,400,0.30695477792703024,1.0729398925366924,1011.9068475823401,0,3
400,1,4,800,0.8166530143388121,3.86426600260795,921.7790127430627,0,3
400,1,4,1000,1.7253194436575396,6.154382371928541,2451.465223401971,0,3
400,2,2,50,8.293097839414342,1.028078385242905,2439.0291945931217,0,3
400,2,2,100,1.2271297606222253,1.002821481691739,8601.468948495143,0,3
400,2,2,200,0.4568282008390101,1.062359352050056,6023.040417110542,0,3
400,2,2,400,0.39742769642029013,2.0570317104677356,2030.7786039531995,0,3
400,2,2,800,0.6584474797886116,18.060638029243936,2442.374958835663,0,3
400,2,2,1000,1.1353562186745696,16.919554965601847,1180.4438794739501,0,3
400,2,4,50,0.21882339000397488,1.0002540440762333,34581.63617934222,0,3
400,2,4,100,0.06244686609830907,1.0003426325939095,38156.22335482193,0,3
400,2,4,200,0.13349021027897479,1.019544824689901,12616.774724765655,0,3
400,2,4,400,0.16923406574761066,1.029428974823456,2380.408655720482,0,3
400,2,4,800,0.4427798384663821,2.0904821970437952,2195.3936090860802,0,3
400,2,4,1000,0.2904954148034082,7.43823197933351,8036.5855393763995,0,3
400,4,4,50,0.3203774966390756,1.0003559563266091,25827.48902537476,0,3
400,4,4,100,0.07456276280884966,1.0003405346494996,23787.94069324504,0,3
400,4,4,200,0.05091349810805538,1.0071465113409293,8428.702958971184,0,3
400,4,4,400,0.06437222439081847,1.0418464722641267,908.0110337312498,0,3
400,4,4,800,0.49367777963686593,1.296939765055349,102.04671710940363,0,3
400,4,4,1000,3.7448388431848056,3.5412606079125513,18.14424326454127,1,3
1600,1,1,50,67.55608614807687,1.060154082957043,2124.141256218878,0,3
1600,1,1,100,23.060423205115963,1.4481078540999572,1392.2061327295717,0,3
1600,1,1,200,7.944845539817691,1.1235171018345682,644.5890598867205,0,3
1600,1,1,400,2.2943814072415414,1.2064600133472099,367.9281624726678,0,3
1600,1,1,800,0.5287661554818968,1.1717680689194692,264.1954260439081,0,3
1600,1,1,1000,0.346429455567665,1.3015628632789362,260.12187760635396,0,3
1600,1,1,1600,0.5310506431447962,1.560914781523902,207.5991755056393,0,3
1600,1,1,2400,1.2129847177407393,2.1696788699624543,157.71760774694835,0,3
1600,1,1,3200,2.2518209375241924,6.857045815572059,144.14142797421698,0,3
1600,2,2,50,15.32461413730862,1.0744995515610616,787.2593014765358,0,3
1600,2,2,100,2.2966913400844855,1.0418286485562434,4013.714876398943,0,3
1600,2,2,200,0.4244492028297205,1.003621759054439,20915.503225387783,0,3
1600,2,2,400,0.10982165118433122,1.0016552380024286,29408.11079628388,0,3
1600,2,2,800,0.08628600540977842,1.3625312931327545,9989.344166010487,0,3
1600,2,2,1000,0.0706680604638447,1.456900200918042,6557.1098553647535,0,3
1600,2,2,1600,0.07656807893036503,2.121203164060527,2337.1044992037996,0,3
1600,2,2,2400,0.10168822073327959,4.6783251189982655,1260.717774839817,0,3
1600,2,2,3200,0.13954938891778865,4.47919512149148,1427.1678167067987,0,3
