scenario_id,profile_name,target_Np,target_SR,target_MM,obs_Np,obs_SR,obs_MM,error_Np_pct,error_SR_pct,error_MM_pct,chains_used,rhat_Np,ess_Np,rhat_SR,ess_SR,rhat_MM,ess_MM,obs_Np_env,obs_SR_env,obs_MM_env,error_Np_pct_env,error_SR_pct_env,error_MM_pct_env,rhat_Np_env,ess_Np_env,rhat_SR_env,ess_SR_env,rhat_MM_env,ess_MM_env,n_seed_sets
1,Equal_Linear,100,1,1,100.55848333333333,1.0003305706876118,1.0905056700087137,0.5584833333333279,0.03305706876117753,9.050567000871368,12,1.000872724605649,11272.739318633508,1.0005644802302167,21484.30796619431,1.039509041158095,287.2880560587415,100.56591666666667,1.0003738722381565,1.117051728685746,0.5659166666666664,0.037387223815654735,11.705172868574598,1.003673255105397,10160.195631290244,1.000814982962584,20850.332860643743,1.0413876233935109,189.7311053436543,3
2,Equal_Linear,100,1,2,101.563525,1.0001682586398888,2.0225047327268015,1.5635249999999985,0.01682586398887853,1.1252366363400768,12,1.0002352352988524,24254.00817787731,1.0001987837433488,46770.384516713726,1.0008273849891964,6874.4028554155675,101.61701388888889,1.000447185718933,2.023065718459468,1.6170138888888914,0.04471857189329853,1.1532859229733905,1.0004576972646022,23637.792496802314,1.0002900552264355,44970.46551001452,1.0026255993247497,6018.029607436962,3
3,Equal_Linear,100,1,4,102.28223888888888,1.0001930147216451,3.9880548225649197,2.282238888888884,0.01930147216451239,0.29862943587700697,12,1.0003968571332948,21433.842198663282,1.000206386277711,38837.837108189924,1.0018886704003542,10858.43857877255,102.45470555555556,1.0003752127293428,3.9831293118823883,2.454705555555563,0.0375212729342822,0.421767202940293,1.0007061508832549,19114.34775147986,1.0004271779105147,36274.13677642412,1.0030120262647946,10368.010115524547,3
4,Equal_Linear,100,2,2,101.31386666666666,1.9822818596488934,2.031160845432302,1.3138666666666552,0.8859070175553319,1.55804227161509,12,1.0006253303256296,26892.93129870753,1.0003698283615308,24481.21792001705,1.0007729881434249,5154.5604977329085,101.32616944444445,1.9813854006291485,2.0318980869709935,1.3261694444444458,0.9307299685425763,1.594904348549675,1.0007689239394213,25251.362939959163,1.000655783409908,22660.14719919073,1.0023312541226868,4858.929378230403,3
5,Equal_Linear,100,2,4,102.08730833333334,1.9861565460727226,4.002203279412363,2.0873083333333398,0.6921726963638686,0.05508198530908004,12,1.0130626498847635,25814.709771554364,1.0063481017420353,24580.51570698497,1.067637234869902,10558.880693942345,102.12824444444445,1.9852932330068778,3.985163907560944,2.128244444444448,0.7353383496561117,0.37090231097639537,1.0152796367376395,23967.085377357736,1.0069708700192523,24450.776925513215,1.0719467378638055,9808.49768445372,3
6,Equal_Linear,100,4,4,101.09209722222222,3.955802888391485,3.9892198455552914,1.0920972222222218,1.104927790212873,0.26950386111771474,12,1.0008167907824184,27310.25767924675,1.0024826382899685,9764.494668970086,1.0043280144377575,6019.3555293575255,101.14679166666667,3.951846726921154,3.98302091372297,1.1467916666666724,1.2038318269711468,0.42447715692575105,1.0015237020554326,26196.86619792983,1.0048925702912663,8908.445729424468,1.0136961734435903,5941.673959536212,3
7,Equal_Linear,200,1,1,200.30995555555558,1.0000468919573073,1.036417356484237,0.15497777777778765,0.004689195730733786,3.641735648423694,12,1.0011237318787114,10616.172284862889,1.0002670903149486,19574.465387795397,1.0226824136357249,336.2105073791298,200.33279166666668,1.0000521937531628,1.0432442906525592,0.16639583333333974,0.005219375316278807,4.324429065255919,1.0023893051937576,10404.100995546554,1.0010973275032196,19528.856081657395,1.035926505117244,318.452754864356,3
8,Equal_Linear,200,1,2,201.16355,1.000168509106567,2.0202347842013624,0.5817749999999933,0.016850910656707185,1.0117392100681188,12,1.0107382460787269,34014.56839255373,1.0000905188062166,50200.339214180196,1.0816709461064347,4561.507743926565,201.25518888888888,1.0001768806720652,2.0266748105713868,0.6275944444444406,0.017688067206522717,1.3337405285693382,1.0146778832255594,33626.689470961835,1.0001285317424644,47118.09906341642,1.195822706168352,3918.0996906806968,3
9,Equal_Linear,200,1,4,201.34553333333332,1.000068452466084,4.002457245509374,0.6727666666666607,0.006845246608389033,0.06143113773435793,12,1.0001474903583474,40799.24144116818,1.0001080563580886,48122.93319144293,1.0017913292406453,12085.645413090107,201.35083333333333,1.000162263061884,3.9972599706306955,0.6754166666666634,0.016226306188404926,0.06850073423261271,1.0003351413113402,40316.72331595256,1.0001772113013732,47404.785568756146,1.0030513476883423,11654.623461364388,3
10,Equal_Linear,200,2,2,200.6852,1.9915984970497613,2.0151717785221037,0.34260000000000446,0.42007514751193353,0.7585889261051859,12,1.0000830805992262,44582.02638487298,1.001310818900743,27033.36136168868,1.001501850592256,5834.048678512992,200.71527500000002,1.9915445666724454,2.016998925779639,0.3576375000000098,0.42277166637773034,0.8499462889819398,1.0004424342656977,44044.32899530512,1.0013375750580222,26740.99855765715,1.0110461583035049,4662.7438214066815,3
