job_id,scenario_id,chain,status,run_time_sec
1,1,1,SUCCESS,215.94258308410645
2,1,2,SUCCESS,184.4852809906006
3,1,3,SUCCESS,192.68212389945984
4,1,4,SUCCESS,193.5000991821289
5,2,1,SUCCESS,195.39363193511963
6,2,2,SUCCESS,189.10936093330383
7,2,3,SUCCESS,200.29371690750122
8,2,4,SUCCESS,194.6785638332367
9,3,1,SUCCESS,197.45718812942505
10,3,2,SUCCESS,200.79563999176025
11,3,3,SUCCESS,242.652184009552
12,3,4,SUCCESS,229.1714792251587
13,4,1,SUCCESS,225.95116710662842
14,4,2,SUCCESS,224.36181497573853
15,4,3,SUCCESS,226.21909093856812
16,4,4,SUCCESS,200.06219601631165
17,5,1,SUCCESS,192.7716178894043
18,5,2,SUCCESS,198.84705591201782
19,5,3,SUCCESS,206.70726108551025
20,5,4,SUCCESS,195.84247493743896
21,6,1,SUCCESS,219.2928969860077
22,6,2,SUCCESS,181.71848797798157
23,6,3,SUCCESS,190.241858959198
24,6,4,SUCCESS,195.21996212005615
25,7,1,SUCCESS,193.0018949508667
26,7,2,SUCCESS,192.3862841129303
27,7,3,SUCCESS,202.64688801765442
28,7,4,SUCCESS,192.1980700492859
29,8,1,SUCCESS,194.07301115989685
30,8,2,SUCCESS,206.71004915237427
31,8,3,SUCCESS,239.16100692749023
32,8,4,SUCCESS,228.6795690059662
33,9,1,SUCCESS,225.74592280387878
34,9,2,SUCCESS,226.83510994911194
35,9,3,SUCCESS,226.59872794151306
36,9,4,SUCCESS,200.0256679058075
37,10,1,SUCCESS,193.35722398757935
38,10,2,SUCCESS,197.25463700294495
39,10,3,SUCCESS,201.16364097595215
40,10,4,SUCCESS,199.09756112098694
41,11,1,SUCCESS,216.08691596984863
42,11,2,SUCCESS,183.10130500793457
43,11,3,SUCCESS,194.93002104759216
44,11,4,SUCCESS,192.28814792633057
45,12,1,SUCCESS,191.64497089385986
46,12,2,SUCCESS,193.48141384124756
47,12,3,SUCCESS,201.05321717262268
48,12,4,SUCCESS,192.88116717338562
49,13,1,SUCCESS,196.60410618782043
50,13,2,SUCCESS,205.17686200141907
51,13,3,SUCCESS,237.97629594802856
52,13,4,SUCCESS,228.7691650390625
53,14,1,SUCCESS,224.98281693458557
54,14,2,SUCCESS,225.13056993484497
55,14,3,SUCCESS,224.51760578155518
56,14,4,SUCCESS,200.93797779083252
57,15,1,SUCCESS,196.5958571434021
58,15,2,SUCCESS,197.6239550113678
59,15,3,SUCCESS,200.78586411476135
60,15,4,SUCCESS,199.18733501434326
61,16,1,SUCCESS,217.7625138759613
62,16,2,SUCCESS,184.5689558982849
63,16,3,SUCCESS,188.12735104560852
64,16,4,SUCCESS,194.74704909324646
65,17,1,SUCCESS,194.59521389007568
66,17,2,SUCCESS,193.35817694664001
67,17,3,SUCCESS,197.90510487556458
68,17,4,SUCCESS,195.94108200073242
69,18,1,SUCCESS,193.07172107696533
70,18,2,SUCCESS,200.99281287193298
71,18,3,SUCCESS,240.5764148235321
72,18,4,SUCCESS,230.32752108573914
73,19,1,SUCCESS,225.23448300361633
74,19,2,SUCCESS,224.3529999256134
75,19,3,SUCCESS,226.3125250339508
76,19,4,SUCCESS,202.27024793624878
77,20,1,SUCCESS,195.87340188026428
78,20,2,SUCCESS,197.1197919845581
79,20,3,SUCCESS,199.02471804618835
80,20,4,SUCCESS,201.25565099716187
81,21,1,SUCCESS,216.4889361858368
82,21,2,SUCCESS,185.76647114753723
83,21,3,SUCCESS,188.59581208229065
84,21,4,SUCCESS,191.82249903678894
85,22,1,SUCCESS,193.39713382720947
86,22,2,SUCCESS,192.5417549610138
87,22,3,SUCCESS,198.56120586395264
88,22,4,SUCCESS,193.1815869808197
89,23,1,SUCCESS,196.22002387046814
90,23,2,SUCCESS,201.13601398468018
91,23,3,SUCCESS,240.55284690856934
92,23,4,SUCCESS,228.53220200538635
93,24,1,SUCCESS,226.4869680404663
94,24,2,SUCCESS,224.4153230190277
95,24,3,SUCCESS,221.90459895133972
96,24,4,SUCCESS,202.23592615127563
97,25,1,SUCCESS,195.7918999195099
98,25,2,SUCCESS,194.8404769897461
99,25,3,SUCCESS,205.05073404312134
100,25,4,SUCCESS,197.57579803466797
101,26,1,SUCCESS,219.0250120162964
102,26,2,SUCCESS,181.95589685440063
103,26,3,SUCCESS,190.50683903694153
104,26,4,SUCCESS,189.9561619758606
105,27,1,SUCCESS,195.20938992500305
106,27,2,SUCCESS,190.72196006774902
107,27,3,SUCCESS,198.7222650051117
108,27,4,SUCCESS,192.35908198356628
109,28,1,SUCCESS,190.43325805664063
110,28,2,SUCCESS,206.11044001579285
111,28,3,SUCCESS,236.3327648639679
112,28,4,SUCCESS,230.08605194091797
113,29,1,SUCCESS,226.62787294387817
114,29,2,SUCCESS,224.0602900981903
115,29,3,SUCCESS,223.80969905853271
116,29,4,SUCCESS,199.029620885849
117,30,1,SUCCESS,195.33412098884583
118,30,2,SUCCESS,196.51419591903687
119,30,3,SUCCESS,202.0292251110077
120,30,4,SUCCESS,198.99465990066528
